feature,mean_abs_shap
is_https,0.205272304139936
n_path_segments,0.0698859772694032
path_len,0.0624451457566262
n_slash,0.0500006944477965
n_digit,0.0245637677676844
url_len,0.0216349932675323
core_len,0.0210287618669915
digit_ratio,0.0202229458457947
letter_ratio,0.014585568595405
host_len,0.0143396489114509
host_entropy,0.0130018093940248
n_subdomain,0.0119301847583226
core_entropy,0.0105839698738828
url_entropy,0.010285333279319
n_dots,0.0098557044912368
